SizeOfArray,AvgTime,SDtime,AvgComparisons,AvgSwaps,SDcomparisions,SDswaps
2,2.16667E-07,5.82149E-08,1,0.633333,0,0.481894
3,3.16667E-07,1.55101E-07,3,1.43333,0,0.882547
4,3.06667E-07,1.99891E-07,6,3.13333,0,1.64789
5,3.36665E-07,1.42558E-07,10,5.13333,0,2.07739
6,4.03334E-07,1.74135E-07,15,6.73333,0,2.14372
7,4.70002E-07,2.3826E-07,21,11.8667,0,2.92954
8,4.76668E-07,1.22973E-07,28,15.3333,0,4.24526
9,5.83333E-07,2.31058E-07,36,17.6667,0,4.76329
10,5.43333E-07,1.14549E-07,45,22.9333,0,6.41838
11,7.76668E-07,3.24228E-07,55,27.6667,0,6.47216
12,8.53333E-07,3.27344E-07,66,33.7,0,5.83181
13,9.43335E-07,3.38314E-07,78,38.9333,0,10.0264
14,0.00000102,5.12771E-07,91,45.8,0,6.84787
15,9.36665E-07,1.76033E-07,105,53.2667,0,7.94956
16,2.08334E-06,4.9314E-06,120,61.0333,0,9.96154
32,0.00000321,1.42135E-06,496,247.567,0,24.3457
64,2.71667E-05,9.14162E-05,2016,1020.93,0,84.1174
125,3.54533E-05,1.09311E-05,7750,3872.13,0,214.537
250,0.000203703,0.000244681,31125,15583.1,0,621.122
500,0.000647677,0.000270903,124750,62367.6,0,1928.28
1000,0.00502664,0.0109888,499500,248425,0,5296.5
2000,0.00750233,0.000912045,1999000,1000590,0,14730.2
4000,0.0277568,0.00253752,7998000,3991840,0,40834
8000,0.108336,0.0108037,31996000,15999000,0,151329
16000,0.429663,0.0173193,127992000,64014000,0,259475
30000,1.44698,0.0199865,449985000,225259000,0,854942
50000,3.939,0.0217896,1249980000,624569000,0,1641050
100000,15.7586,0.219683,4999950000,2500700000,0,4108470
250000,97.7831,0.272963,31249900000,15621400000,0,18476000
