SizeOfArray,AvgTime,SDtime,AvgComparisons,AvgSwaps,SDcomparisions,SDswaps
2,2.79666e-006,9.03886e-007,7,5.63333,0,0.481894
3,4.65001e-006,5.05481e-006,12.5667,9.43333,0.495536,0.882547
4,3.49001e-006,5.56397e-007,16.7667,11.5667,0.422953,1.05462
5,3.78333e-006,8.33514e-007,23.2333,16.1333,0.919541,1.25786
6,8.26668e-006,1.63333e-005,29.6667,20.6667,1.42205,1.81353
7,4.72333e-006,1.96904e-006,37.5667,27.3333,1.78294,2.38514
8,3.533e-005,0.000136235,45.7,33.5,2.78268,3.31411
9,5.48667e-006,2.8704e-006,44.6667,31,2.0548,2.3523
10,2.51167e-005,0.000109412,52.3333,36.5333,3.78887,4.11285
11,6.00667e-006,3.77245e-006,59.4333,41.9333,2.5779,2.90899
12,4.64999e-006,1.12538e-006,65.2333,45.4333,2.53881,3.00758
13,5.11e-006,1.52367e-006,73.7,53.1333,4.33705,5.12987
14,5.29001e-006,3.16904e-006,81.8,58.8333,4.0694,4.554
15,4.48999e-006,8.99382e-007,90.3333,65.4333,4.06885,4.0223
16,5.91e-006,1.31843e-006,88.9333,62.6333,4.22637,4.7433
32,7.08664e-006,3.15952e-006,204.767,149.367,9.58709,9.8098
64,1.04467e-005,1.15426e-005,439.933,327.167,17.8137,19.5228
125,1.24167e-005,2.73034e-006,970.967,744.567,26.5851,28.9605
250,2.05433e-005,3.99005e-006,2292.1,1828.17,51.6994,53.7681
500,3.78033e-005,3.72455e-005,5362.43,4421.13,107.449,109.753
1000,9.39933e-005,0.000124479,13136.7,11227.6,187.045,189.069
2000,0.00025898,0.000479109,33040.9,29189,366.283,371.46
4000,0.000360283,0.000205925,84324.4,76555.3,707.144,710.71
8000,0.00075555,0.000369373,220525,204873,1525.22,1524.14
16000,0.00137506,0.000330272,588520,557048,2153.23,2154.17
30000,0.00262201,0.000662654,1.45061e+006,1.39135e+006,4069.89,4065.94
50000,0.00415218,0.000849006,3.04429e+006,2.94524e+006,8875.57,8874.66
100000,0.00939583,0.00108278,8.35615e+006,8.15746e+006,19402.3,19406.6
250000,0.0314908,0.00343649,3.209e+007,3.15919e+007,42267.2,42261.7
