SizeOfArray,AvgTime,SDtime,AvgComparisons,AvgSwaps,SDcomparisions,SDswaps
2,5.20933e-005,4.37626e-005,4,2,0,0
3,6.754e-005,4.19094e-005,7,3,0,0
4,9.10867e-005,5.73209e-005,10,4,0,0
5,9.55833e-005,3.39869e-005,13,5,0,0
6,8.25367e-005,2.46638e-005,16,6,0,0
7,0.000108653,6.63264e-005,19,7,0,0
8,0.000142127,8.03139e-005,22,8,0,0
9,0.000117203,6.79705e-005,25,9,0,0
10,0.00012477,5.74729e-005,28,10,0,0
11,0.000151037,0.000121704,31,11,0,0
12,0.000142373,0.000170086,34,12,0,0
13,0.000112377,1.99635e-005,37,13,0,0
14,0.00012175,3.87497e-005,40,14,0,0
15,0.000246047,0.000519139,43,15,0,0
16,0.0001542,8.54207e-005,46,16,0,0
32,0.000130403,2.08738e-005,94,32,0,0
64,0.00014522,4.14267e-005,190,64,0,0
125,0.00015545,5.41687e-005,373,125,0,0
250,0.000203993,0.000212073,748,250,0,0
500,0.000147997,4.48657e-005,1498,500,0,0
1000,0.00026078,0.00043531,2998,1000,0,0
2000,0.00208846,0.0101908,5998,2000,0,0
4000,0.000762147,0.00237936,11998,4000,0,0
8000,0.00031326,0.000229084,23998,8000,0,0
16000,0.000410523,0.000268026,47998,16000,0,0
30000,0.00049339,0.000211413,89998,30000,0,0
50000,0.00059236,0.000130182,149998,50000,0,0
100000,0.00118613,0.000653814,299998,100000,0,0
250000,0.00248803,0.00051058,749998,250000,0,0
