SizeOfArray,AvgTime,SDtime,AvgComparisons,AvgSwaps,SDcomparisions,SDswaps
2,4.09997E-07,1.29999E-07,1,1.36667,0,0.481894
3,4.90003E-07,1.86816E-07,3,2.9,0,0.650641
4,6.26669E-07,2.47564E-07,6.5,6.13333,0.5,1.02415
5,5.86664E-07,1.38403E-07,11.0333,8.8,1.07961,1.37598
6,7.23337E-07,5.4631E-07,15.3333,12.1333,1.13529,1.0562
7,7.86666E-07,2.36268E-07,19.8333,14.5667,1.41618,1.49852
8,8.09996E-07,2.13462E-07,25.8,18.4667,1.32665,1.2037
9,8.76668E-07,2.66688E-07,32.4,22.6,1.94251,1.83666
10,8.26669E-07,1.93099E-07,38.6667,26.7667,1.97203,1.45335
11,1.01667E-06,3.13142E-07,45.5,30.7333,1.97906,1.93103
12,1.23333E-06,6.58451E-07,52,34.3667,2.52982,2.18302
13,0.00000098,1.46969E-07,59.2667,38.8,2.61958,2.05589
14,1.46667E-06,7.38618E-07,65.3,42.6,2.1,2.31805
15,1.17667E-06,4.42485E-07,71.8,46.2333,2.80951,2.51241
16,1.51667E-06,7.1744E-07,80.3667,51.7,2.82233,2.57099
32,0.00000231,1.08362E-06,222.567,133.5,3.50888,3.42296
64,5.79667E-06,3.32049E-06,568.9,326.767,8.87074,6.95549
125,1.22133E-05,8.87238E-06,1357.67,762.633,10.15,8.47146
250,2.77467E-05,2.04089E-05,3211.53,1768.47,12.2004,11.3981
500,4.86433E-05,4.70731E-05,7422.97,4040.73,19.8821,17.1618
1000,8.12367E-05,1.98317E-05,16857.9,9087.4,28.7911,21.9129
2000,0.00031129,0.000227207,37710.7,20162.1,37.6166,26.3375
4000,0.000683227,0.000534977,83407.5,44320.2,58.3774,46.8134
8000,0.00119195,0.000560693,182840,96635,73.7363,75.5599
16000,0.00205177,0.000756381,397621,209250,115.335,87.4087
30000,0.00357366,0.000668819,800678,419863,160.488,141.797
50000,0.00532251,0.000840601,1409770,737470,253.25,201.932
100000,0.0107156,0.00116059,3019650,1574970,298.04,234.808
250000,0.0311779,0.00227228,8198520,4262120,480.973,306.137
