SizeOfArray,AvgTime,SDtime,AvgComparisons,AvgSwaps,SDcomparisions,SDswaps
2,0.00000052,1.21199E-06,1,0.633333,0,0.481894
3,2.99999E-07,1.26494E-07,2.56667,1.43333,0.495536,0.882547
4,3.13333E-07,1.80245E-07,5.03333,3.13333,1.04828,1.64789
5,3.43335E-07,1.20233E-07,8,5.13333,1.57056,2.07739
6,3.59997E-07,1.89032E-07,10.7333,6.73333,1.80616,2.14372
7,3.93332E-07,2.67002E-07,15.9667,11.8667,2.38723,2.92954
8,4.03333E-07,1.40197E-07,20.4333,15.3333,3.65772,4.24526
9,4.36665E-07,1.16861E-07,23.9,17.6667,4.26106,4.76329
10,4.40001E-07,1.49662E-07,30.1,22.9333,5.49758,6.41838
11,5.46669E-07,3.27344E-07,35.7,27.6667,5.84893,6.47216
12,5.16665E-07,1.75277E-07,42.7333,33.7,5.11816,5.83181
13,4.79999E-07,1.07704E-07,48.7333,38.9333,9.53566,10.0264
14,5.00002E-07,1.26492E-07,56.7333,45.8,6.45979,6.84787
15,5.83334E-07,2.53096E-07,64.9667,53.2667,7.40488,7.94956
16,5.69998E-07,1.12991E-07,73.4667,61.0333,9.49292,9.96154
32,1.08333E-06,4.13991E-07,275.433,247.567,24.3334,24.3457
64,0.00000251,1.16772E-06,1079.73,1020.93,83.6899,84.1174
125,0.00000626,2.30935E-06,3991.6,3872.13,214.646,214.537
250,2.71133E-05,2.56923E-05,15827.4,15583.1,621.105,621.122
500,0.00009104,0.000116442,62860.5,62367.6,1928.04,1928.28
1000,0.00027106,0.000108708,249417,248425,5296.18,5296.5
2000,0.00101107,0.000240905,1002580,1000590,14730.6,14730.2
4000,0.00639899,0.0059974,3995830,3991840,40833.9,40834
8000,0.012748,0.00303243,16007000,15999000,151330,151329
16000,0.0424181,0.00617481,64030000,64014000,259474,259475
30000,0.141863,0.00774683,225289000,225259000,854941,854942
50000,0.387928,0.0142852,624619000,624569000,1641050,1641050
100000,1.48049,0.0309675,2500800000,2500700000,4108470,4108470
250000,9.04941,0.0645983,15621600000,15621400000,18476000,18476000
