SizeOfArray,AvgTime,SDtime,AvgComparisons,AvgSwaps,SDcomparisions,SDswaps
2,1.27333e-006,2.62855e-006,1,2,0,0
3,8.93332e-007,2.35124e-007,2.83333,5,0.372678,0
4,9.56674e-007,3.60265e-007,4.56667,8,0.495536,0
5,1.26334e-006,6.35345e-007,7.1,12,0.746101,0
6,1.40334e-006,8.01045e-007,10.2333,16,0.558768,0
7,1.15467e-005,5.48103e-005,12.7,20,1.1299,0
8,1.39666e-006,3.53531e-007,15.7,24,1.18743,0
9,2.00667e-006,1.79425e-006,19.3333,29,1.0435,0
10,2.62667e-006,4.80956e-006,22.4667,34,1.76509,0
11,1.70998e-006,4.01117e-007,25.7667,39,1.62652,0
12,3.02e-006,6.95019e-006,30.0667,44,1.69181,0
13,1.89333e-006,3.10842e-007,33.8333,49,1.77169,0
14,2.03999e-006,4.208e-007,38.9333,54,1.41264,0
15,2.08667e-006,4.17733e-007,41.5667,59,1.60589,0
16,2.33667e-006,7.99783e-007,45.8333,64,1.75278,0
32,4.12331e-006,1.53942e-006,121.633,160,3.18835,0
64,7.90666e-006,6.28023e-006,302.767,384,3.6759,0
125,1.40833e-005,6.1637e-006,713.5,872,6.14681,0
250,3.10733e-005,2.20777e-005,1678.57,1994,8.46437,0
500,6.979e-005,7.73339e-005,3857.13,4488,12.5638,0
1000,0.00011591,2.56339e-005,8703.8,9976,17.6057,0
2000,0.00036247,0.000315418,19402.4,21952,24.1173,0
4000,0.000919527,0.00148832,42828.3,47904,30.0081,0
8000,0.00137724,0.000418639,93656.4,103808,43.6147,0
16000,0.00335076,0.00249678,203267,223616,64.3451,0
30000,0.00424918,0.000909683,408566,447232,113.257,0
50000,0.00808438,0.00112283,718144,784464,131.506,0
100000,0.0147176,0.00211292,1.53642e+006,1.66893e+006,217.69,0
250000,0.0377853,0.00437797,4.16853e+006,4.48786e+006,229.808,0
