SizeOfArray,AvgTime,SDtime,AvgComparisons,AvgSwaps,SDcomparisions,SDswaps
2,0.00000119,3.58101E-07,10.8667,9.86667,0.498888,0.498888
3,0.00000129,2.86757E-07,16.8,14.8,0.748331,0.748331
4,0.00000144,5.05701E-07,23,20,0,0
5,1.47999E-06,3.40013E-07,29,25,0,0
6,1.58001E-06,4.16661E-07,35,30,0,0
7,1.57667E-06,2.9964E-07,41,35,0,0
8,1.78001E-06,3.39021E-07,47,40,0,0
9,1.79667E-06,7.63102E-07,53,45,0,0
10,1.98335E-06,9.94688E-07,59,50,0,0
11,0.00000189,3.46741E-07,65,55,0,0
12,2.01667E-06,7.57212E-07,71,60,0,0
13,2.30001E-06,6.99045E-07,77,65,0,0
14,2.48999E-06,1.02417E-06,83,70,0,0
15,2.78334E-06,3.29597E-06,89,75,0,0
16,0.00000218,3.56273E-07,95,80,0,0
32,5.28668E-06,5.87761E-06,191,160,0,0
64,0.00000607,3.6759E-06,383,320,0,0
125,0.00001118,3.96816E-06,749,625,0,0
250,1.97133E-05,7.12736E-06,1499,1250,0,0
500,3.88633E-05,8.25216E-06,2999,2500,0,0
1000,8.21067E-05,3.75433E-05,5999,5000,0,0
2000,0.0001666,2.86747E-05,11999,10000,0,0
4000,0.0003346,0.000125811,23999,20000,0,0
8000,0.00058915,0.00015084,47999,40000,0,0
16000,0.00099889,9.82833E-05,95999,80000,0,0
30000,0.00194124,0.000234407,179999,150000,0,0
50000,0.00328292,0.000459803,299999,250000,0,0
100000,0.0101415,0.00120831,599999,500000,0,0
250000,0.0203949,0.0017084,1500000,1250000,0,0
