SizeOfArray,AvgTime,SDtime,AvgComparisons,AvgSwaps,SDcomparisions,SDswaps
2,2.83333E-07,1.26713E-07,1,0.633333,0,0.481894
3,4.43331E-07,7.70145E-07,2.56667,1.43333,0.495536,0.882547
4,4.53332E-07,2.4322E-07,5.76667,2.26667,0.760847,1.28927
5,4.36667E-07,1.79784E-07,8.83333,3.66667,0.897527,1.37437
6,3.83336E-07,7.7818E-08,10.8667,5,1.30979,1.7127
7,0.00000053,2.01907E-07,14.7667,7.86667,1.85622,2.04505
8,5.79996E-07,2.07204E-07,22.7667,9.86667,2.01136,2.51308
9,5.46665E-07,1.60696E-07,25.8333,9.2,2.19216,2.92575
10,6.33335E-07,2.50779E-07,28.8333,11.4667,2.36761,3.43252
11,5.89999E-07,1.13575E-07,33.9,14.2,2.3,3.177
12,8.26666E-07,3.44417E-07,38.5333,18.0333,4.75908,4.94964
13,7.69999E-07,2.14711E-07,43.3667,19.8,3.81648,4.60724
14,8.2667E-07,3.23458E-07,45.1667,20.6,3.5316,3.71124
15,1.30666E-06,2.74055E-06,50.9333,23.5667,3.88959,3.92159
16,0.00000115,7.67573E-07,68.5,26.9667,7.09342,6.47294
32,2.14334E-06,1.3185E-06,195.633,81.9,15.5445,15.555
64,3.99333E-06,9.1467E-07,539.367,249.967,45.6877,45.5606
125,9.29334E-06,3.22634E-06,1065,500,34.5456,35.6614
250,0.00002374,1.48339E-05,2596.6,1224.77,64.6537,67.3106
500,0.00004461,6.82229E-06,6302.97,3062.37,195.955,199.33
1000,0.000104793,3.51026E-05,15159.4,7668.87,432.68,434.166
2000,0.000328553,0.000328721,35966.2,18975.9,1061.29,1059.82
4000,0.000533077,0.000135251,85128.2,47138.9,1824.29,1817.27
8000,0.00138882,0.000510295,202526,118536,4793.58,4807.3
16000,0.00245146,0.000498889,484870,300881,11560.2,11561.1
30000,0.00437163,0.000972497,934788,560127,21939.2,21939.5
50000,0.00647972,0.00119063,1875430,1200880,39544.4,39538
100000,0.0131218,0.000978975,4245360,2795860,85206.8,85184.5
250000,0.0345969,0.00270332,11909200,8036250,238080,238128
